"Nodo","Fecha","Hora","pml"
"04FMA-115","2024-12-01","23","521.54"
"04FMA-115","2024-12-01","24","446.17"
"04FMA-115","2024-12-02","1","386.5"
"04FMA-115","2024-12-02","2","367.36"
"04FMA-115","2024-12-02","3","350.48"
"04FMA-115","2024-12-02","4","347.92"
"04FMA-115","2024-12-02","5","350.22"
"04FMA-115","2024-12-02","6","360.54"
"04FMA-115","2024-12-02","7","395.25"
"04FMA-115","2024-12-02","8","418.53"
"04FMA-115","2024-12-02","9","381.35"
"04FMA-115","2024-12-02","10","253.96"
"04FMA-115","2024-12-02","11","303.44"
"04FMA-115","2024-12-02","12","291.6"
"04FMA-115","2024-12-02","13","290.56"
"04FMA-115","2024-12-02","14","248.66"
"04FMA-115","2024-12-02","15","246.66"
"04FMA-115","2024-12-02","16","300.46"
"04FMA-115","2024-12-02","17","315.94"
"04FMA-115","2024-12-02","18","531.05"
"04FMA-115","2024-12-02","19","565.56"
"04FMA-115","2024-12-02","20","896.3"
"04FMA-115","2024-12-02","21","677.13"
"04FMA-115","2024-12-02","22","931.69"
"04FMA-115","2024-12-02","23","508.76"
"04FMA-115","2024-12-02","24","468.4"
"04FMA-115","2024-12-03","1","463.15"
"04FMA-115","2024-12-03","2","429.12"
"04FMA-115","2024-12-03","3","401.71"
"04FMA-115","2024-12-03","4","394.19"
"04FMA-115","2024-12-03","5","389.87"
"04FMA-115","2024-12-03","6","387.08"
"04FMA-115","2024-12-03","7","423.34"
"04FMA-115","2024-12-03","8","447.85"
"04FMA-115","2024-12-03","9","412.44"
"04FMA-115","2024-12-03","10","319.04"
"04FMA-115","2024-12-03","11","295.75"
"04FMA-115","2024-12-03","12","280.87"
"04FMA-115","2024-12-03","13","262.7"
"04FMA-115","2024-12-03","14","264.09"
"04FMA-115","2024-12-03","15","300.25"
"04FMA-115","2024-12-03","16","315.22"
"04FMA-115","2024-12-03","17","329.69"
"04FMA-115","2024-12-03","18","562.89"
"04FMA-115","2024-12-03","19","1035.41"
"04FMA-115","2024-12-03","20","738.19"
"04FMA-115","2024-12-03","21","726.36"
"04FMA-115","2024-12-03","22","597.81"
"04FMA-115","2024-12-03","23","543.38"
"04FMA-115","2024-12-03","24","463.69"
"04FMA-115","2024-12-04","1","495.52"
"04FMA-115","2024-12-04","2","471.98"
"04FMA-115","2024-12-04","3","475.22"
"04FMA-115","2024-12-04","4","473.74"
"04FMA-115","2024-12-04","5","467.11"
"04FMA-115","2024-12-04","6","468.43"
"04FMA-115","2024-12-04","7","450.96"
"04FMA-115","2024-12-04","8","459.01"
"04FMA-115","2024-12-04","9","425.99"
"04FMA-115","2024-12-04","10","373.8"
"04FMA-115","2024-12-04","11","119.14"
"04FMA-115","2024-12-04","12","121.83"
"04FMA-115","2024-12-04","13","9.01"
"04FMA-115","2024-12-04","14","9.39"
"04FMA-115","2024-12-04","15","15.26"
"04FMA-115","2024-12-04","16","118.92"
"04FMA-115","2024-12-04","17","171.56"
"04FMA-115","2024-12-04","18","405.01"
"04FMA-115","2024-12-04","19","457.68"
"04FMA-115","2024-12-04","20","462.07"
"04FMA-115","2024-12-04","21","477.57"
"04FMA-115","2024-12-04","22","452.4"
"04FMA-115","2024-12-04","23","436.74"
"04FMA-115","2024-12-04","24","422.78"
"04FMA-115","2024-12-05","1","501.85"
"04FMA-115","2024-12-05","2","444.93"
"04FMA-115","2024-12-05","3","437.76"
"04FMA-115","2024-12-05","4","430.67"
"04FMA-115","2024-12-05","5","416.71"
"04FMA-115","2024-12-05","6","415.04"
"04FMA-115","2024-12-05","7","411.98"
"04FMA-115","2024-12-05","8","388.57"
"04FMA-115","2024-12-05","9","392.98"
"04FMA-115","2024-12-05","10","293.53"
"04FMA-115","2024-12-05","11","21.78"
"04FMA-115","2024-12-05","12","72.77"
"04FMA-115","2024-12-05","13","62.31"
"04FMA-115","2024-12-05","14","60.81"
"04FMA-115","2024-12-05","15","68.26"
"04FMA-115","2024-12-05","16","76.93"
"04FMA-115","2024-12-05","17","192.27"
"04FMA-115","2024-12-05","18","395.5"
"04FMA-115","2024-12-05","19","485.51"
"04FMA-115","2024-12-05","20","453.88"
"04FMA-115","2024-12-05","21","438.22"
"04FMA-115","2024-12-05","22","435.71"
"04FMA-115","2024-12-05","23","429.58"
"04FMA-115","2024-12-05","24","431.06"
"04FMA-115","2024-12-06","1","503.01"
"04FMA-115","2024-12-06","2","459.6"
"04FMA-115","2024-12-06","3","443.96"
"04FMA-115","2024-12-06","4","439.27"
"04FMA-115","2024-12-06","5","438.18"
"04FMA-115","2024-12-06","6","449.38"
"04FMA-115","2024-12-06","7","543.92"
"04FMA-115","2024-12-06","8","565.46"
"04FMA-115","2024-12-06","9","495.78"
"04FMA-115","2024-12-06","10","393.52"
"04FMA-115","2024-12-06","11","367.51"
"04FMA-115","2024-12-06","12","369.12"
"04FMA-115","2024-12-06","13","372.54"
"04FMA-115","2024-12-06","14","383.38"
"04FMA-115","2024-12-06","15","389.81"
"04FMA-115","2024-12-06","16","382.45"
"04FMA-115","2024-12-06","17","388.91"
"04FMA-115","2024-12-06","18","506.86"
"04FMA-115","2024-12-06","19","546.78"
"04FMA-115","2024-12-06","20","578.33"
"04FMA-115","2024-12-06","21","549.92"
"04FMA-115","2024-12-06","22","573.27"
"04FMA-115","2024-12-06","23","541.87"
"04FMA-115","2024-12-06","24","475.8"
"04FMA-115","2024-12-07","1","459.19"
"04FMA-115","2024-12-07","2","429.87"
"04FMA-115","2024-12-07","3","416.57"
"04FMA-115","2024-12-07","4","415.4"
"04FMA-115","2024-12-07","5","412.76"
"04FMA-115","2024-12-07","6","405.13"
"04FMA-115","2024-12-07","7","412.43"
"04FMA-115","2024-12-07","8","421.66"
"04FMA-115","2024-12-07","9","407.58"
"04FMA-115","2024-12-07","10","292.16"
"04FMA-115","2024-12-07","11","15.94"
"04FMA-115","2024-12-07","12","25.33"
"04FMA-115","2024-12-07","13","44.16"
"04FMA-115","2024-12-07","14","65.72"
"04FMA-115","2024-12-07","15","72.55"
"04FMA-115","2024-12-07","16","61.24"
"04FMA-115","2024-12-07","17","196.65"
"04FMA-115","2024-12-07","18","409.8"
"04FMA-115","2024-12-07","19","964.54"
"04FMA-115","2024-12-07","20","1026.38"
"04FMA-115","2024-12-07","21","980.09"
"04FMA-115","2024-12-07","22","858.06"
"04FMA-115","2024-12-07","23","621.73"
"04FMA-115","2024-12-07","24","426.15"
"05AEP-115","2024-12-01","1","383.84"
"05AEP-115","2024-12-01","2","366.18"
"05AEP-115","2024-12-01","3","352.17"
"05AEP-115","2024-12-01","4","343.33"
"05AEP-115","2024-12-01","5","338.48"
"05AEP-115","2024-12-01","6","338.38"
"05AEP-115","2024-12-01","7","341.26"
"05AEP-115","2024-12-01","8","340.51"
"05AEP-115","2024-12-01","9","314.66"
"05AEP-115","2024-12-01","10","-18.98"
"05AEP-115","2024-12-01","11","-36.02"
"05AEP-115","2024-12-01","12","-21.88"
"05AEP-115","2024-12-01","13","-21.63"
"05AEP-115","2024-12-01","14","-31.76"
"05AEP-115","2024-12-01","15","-29.8"
"05AEP-115","2024-12-01","16","-22.94"
"05AEP-115","2024-12-01","17","-10.95"
"05AEP-115","2024-12-01","18","351.58"
"05AEP-115","2024-12-01","19","418.45"
"05AEP-115","2024-12-01","20","445.32"
"05AEP-115","2024-12-01","21","419.5"
"05AEP-115","2024-12-01","22","430.5"
"05AEP-115","2024-12-01","23","426.62"
"05AEP-115","2024-12-01","24","389.09"
"05AEP-115","2024-12-02","1","354.69"
"05AEP-115","2024-12-02","2","338.68"
"05AEP-115","2024-12-02","3","339.27"
"05AEP-115","2024-12-02","4","339.19"
"05AEP-115","2024-12-02","5","339.24"
"05AEP-115","2024-12-02","6","344.43"
"05AEP-115","2024-12-02","7","371.28"
"05AEP-115","2024-12-02","8","397.6"
"05AEP-115","2024-12-02","9","360.21"
"05AEP-115","2024-12-02","10","78.35"
"05AEP-115","2024-12-02","11","333.24"
"05AEP-115","2024-12-02","12","298.75"
"05AEP-115","2024-12-02","13","286.7"
"05AEP-115","2024-12-02","14","31.58"
"05AEP-115","2024-12-02","15","27.92"
"05AEP-115","2024-12-02","16","280.67"
"05AEP-115","2024-12-02","17","340.69"
"05AEP-115","2024-12-02","18","551.91"
"05AEP-115","2024-12-02","19","523.4"
"05AEP-115","2024-12-02","20","823.98"
"05AEP-115","2024-12-02","21","640.01"
"05AEP-115","2024-12-02","22","845.31"
"05AEP-115","2024-12-02","23","457.86"
